# E_GeV gas iso ps nfw ics fb_flat loopI total
1.304321375275280914e+00 2.522844376599391210e-03 1.000003277462249127e-04 3.397429018161959120e-04 1.087605978898772648e-04 3.089833311425678811e-04 1.787122132589811997e-04 2.057835319993868228e-05 3.579622101653177815e-03
2.218982274181229730e+00 2.092720927095002934e-03 1.000036939570016697e-04 2.586977858610926243e-04 1.105321348315895424e-04 2.489866092608607607e-04 1.637014266694363646e-04 2.093186167581938777e-06 2.976735763842564605e-03
3.775053073500424183e+00 1.584193230737500086e-03 1.000206284345031744e-04 2.145278111921725443e-04 8.585323841344998563e-05 2.881066112417851014e-04 1.738437467974113682e-04 6.171669460698524667e-06 2.452716936277520542e-03
6.422325374407718890e+00 1.094425075920506642e-03 1.000088181827528400e-04 1.799397197914303704e-04 4.774397821276612006e-05 2.701705986821693471e-04 1.874486270787163169e-04 2.088219984979977563e-05 1.900619017718141283e-03
1.092600878978529444e+01 7.619901706869430281e-04 1.000029668488975970e-04 1.733296472052397660e-04 2.661348768074319138e-05 2.141088137711745683e-04 1.866418090381049329e-04 1.345570165633121429e-05 1.476142596887434610e-03
1.858791903965422065e+01 5.398432698412301183e-04 1.000569203560569830e-04 1.562045729631348473e-04 2.031703452842329152e-05 1.468646486265762999e-04 1.613031105089869004e-04 8.038242272220529046e-07 1.125393381051630710e-03
3.162277655582570901e+01 3.647561767266541870e-04 4.013009331966011028e-06 1.448414363852784626e-04 1.888110344935205873e-05 1.978029745679820751e-04 1.490153800438710568e-04 5.820633184112187719e-06 8.851307136892165887e-04
5.379838458025832182e+01 3.162301281542265153e-04 1.122023108771459973e-05 1.077906893982135338e-04 1.777830162897327821e-05 7.863387567871524004e-05 1.248130391619411994e-04 4.203749899937125850e-06 6.606700150097214678e-04
9.152473176089060303e+01 2.679622845939025420e-04 6.314953698789077324e-06 8.734543505171029894e-05 1.427361807645785174e-05 2.990008932756643990e-05 8.572586958349692179e-05 1.067031670271001431e-06 4.925892820021940399e-04
1.557068395621998320e+02 2.022284935813604240e-04 5.212821161145972878e-06 5.867506086367393333e-05 1.109183049779708027e-05 1.614038198121873127e-05 5.809813694079662521e-05 7.797692496146927388e-07 3.522264942756075565e-04
2.648969237716195266e+02 1.499488126780925269e-04 5.102769932086578060e-06 3.273632820420841215e-05 1.422443056147526842e-05 9.145843011922529862e-06 2.884217378763917239e-05 2.473409604330099444e-07 2.402476991358574077e-04
4.506570248350201950e+02 1.202439352073692762e-04 7.780592741198687163e-06 1.609062943494610995e-05 1.232890529812294617e-05 1.030597341595649322e-05 5.064493567716479360e-06 4.764336388994292409e-07 1.722909633042094500e-04
7.666822027411357112e+02 9.001005554315515871e-05 1.677659518785351109e-05 8.332064591718335830e-06 9.010988577698868419e-06 8.226691024872184735e-06 1.250888814032260389e-05 5.110375738216518029e-07 1.453763206394423639e-04
