# E_GeV gas iso ps nfw ics fb_flat loopI total
1.304321375275280914e+00 2.263702904574436438e-03 1.194599846345898861e-06 4.860033942661227220e-04 7.748562504455546850e-05 6.977552180467312681e-04 1.095210963002388714e-04 2.425243446191941137e-04 3.878187182697625645e-03
2.218982274181229730e+00 1.873834223305899816e-03 1.189865840613503208e-06 3.751857928491848988e-04 8.566282059170050032e-05 6.082619732397083565e-04 1.106086903110110534e-04 1.628224096781827833e-04 3.217565775816302182e-03
3.775053073500424183e+00 1.416390657519065463e-03 2.278267093575432489e-06 2.943366505074036083e-04 6.992203317319432019e-05 5.723139073375464259e-04 1.294835481585199656e-04 1.667396869665374517e-04 2.651464750755843855e-03
6.422325374407718890e+00 9.838839350582999528e-04 5.469660668537308109e-06 2.259696778633599439e-04 4.137118192250938597e-05 4.588630637380940679e-04 1.504471818222991920e-04 1.950723093334689334e-04 2.061077010406570272e-03
1.092600878978529444e+01 6.812571604948331350e-04 1.148369711859351829e-05 2.003760474129724948e-04 2.340822605407398202e-05 3.496314408503373421e-04 1.585999783374733075e-04 1.741951301760327221e-04 1.598951680444316275e-03
1.858791903965422065e+01 4.800656629391665130e-04 2.632917836038809579e-05 1.686671725055156803e-04 1.849335235683429295e-05 2.458848925763058141e-04 1.393381549394995169e-04 1.417072032458099970e-04 1.220485616923519534e-03
3.162277655582570901e+01 3.388846646779610709e-04 1.980266225419280738e-05 1.470816910846801202e-04 1.767527746252450628e-05 2.298044664007660280e-04 1.290399304446300435e-04 7.622788451133821026e-05 9.585165768360925324e-04
5.379838458025832182e+01 3.055651732515764349e-04 4.484576851520708808e-05 1.099466962746697231e-04 1.793039375997461751e-05 8.397475699694862490e-05 1.063083961049986946e-04 5.079231294071491086e-05 7.193634978440901617e-04
9.152473176089060303e+01 2.535418559897268851e-04 1.232763512567572114e-05 8.637017397076844313e-05 1.412578148773182270e-05 4.642049672532902016e-05 7.927863149590168160e-05 3.434182621555393532e-05 5.264064010106875345e-04
1.557068395621998320e+02 1.673407812279685265e-04 1.227033680036727152e-05 6.114993833213555000e-05 1.325638665964601067e-05 6.544149986036490441e-05 5.118915451749177242e-05 2.743003153756930811e-06 3.733911005517309397e-04
2.648969237716195266e+02 1.522836247483708128e-04 1.745137349548197826e-05 3.412337083246404549e-05 1.219043419751785017e-05 9.785082588804586929e-06 2.542625720944396647e-05 1.648385599576355233e-06 2.529085286716595488e-04
4.506570248350201950e+02 1.227207020436979056e-04 1.128969994168363286e-05 1.322355118797363555e-05 1.057902703739901222e-05 7.748277968483996018e-06 3.820596471668845071e-06 1.434246374637349356e-06 1.708161010255443337e-04
7.666822027411357112e+02 9.777729436144505905e-05 1.907864795451701944e-05 1.370294852763114212e-06 7.696340606083882125e-06 3.000860435702990847e-06 8.440910315228842238e-06 4.825224934835060993e-07 1.378468710192244737e-04
