# k gas iso ps loopA loopB ics fb_pos fb_neg nfw_NFW_g1_rho1_rs21_R08_rvir402_ns2048_normpole_pheno
0.000000000000000000e+00 2.297100275754928589e-01 5.520956420898437500e+01 3.117967247962951660e-01 3.360645317584953773e-09 1.680389605462551117e-02 7.152194976806640625e-01 1.576246879994869232e-02 6.256459280848503113e-03 2.734682522714138031e-02
1.000000000000000000e+00 3.692896664142608643e-01 5.528153610229492188e+01 4.570385515689849854e-01 2.057573738056817092e-07 1.528551988303661346e-02 1.080974221229553223e+00 1.781183481216430664e-02 7.647563237696886063e-03 1.863844878971576691e-02
2.000000000000000000e+00 6.824010610580444336e-01 4.612312316894531250e+01 5.995792150497436523e-01 9.466648975831049029e-08 1.475374307483434677e-02 1.380562424659729004e+00 2.096128463745117188e-02 8.449724875390529633e-03 1.803020946681499481e-02
3.000000000000000000e+00 1.126919388771057129e+00 3.584894180297851562e+01 6.574937701225280762e-01 2.024106606768327765e-06 1.360521093010902405e-02 1.260025858879089355e+00 2.516693621873855591e-02 1.134788896888494492e-02 2.676374465227127075e-02
4.000000000000000000e+00 1.582126617431640625e+00 2.967867851257324219e+01 7.200836539268493652e-01 4.826877557206898928e-06 1.011009700596332550e-02 8.759926557540893555e-01 3.057174384593963623e-02 1.311334315687417984e-02 3.561071678996086121e-02
5.000000000000000000e+00 1.860591053962707520e+00 2.830347251892089844e+01 6.737601757049560547e-01 7.200748655122879427e-07 4.122455604374408722e-03 5.608998537063598633e-01 3.580653294920921326e-02 1.453865785151720047e-02 4.331174492835998535e-02
6.000000000000000000e+00 2.143681287765502930e+00 2.725146865844726562e+01 6.156254410743713379e-01 4.438343239598907530e-06 1.564088976010680199e-03 8.019515872001647949e-01 4.033329710364341736e-02 1.978909969329833984e-02 1.529782731086015701e-02
7.000000000000000000e+00 2.437599897384643555e+00 2.147087287902832031e+01 4.401456713676452637e-01 1.063714953488670290e-04 2.827228454407304525e-04 1.919807493686676025e-01 4.734156653285026550e-02 2.247179858386516571e-02 1.035144180059432983e-02
8.000000000000000000e+00 2.775804042816162109e+00 2.072691917419433594e+01 3.542108237743377686e-01 8.648350922157987952e-05 4.896099562756717205e-04 4.261642694473266602e-01 4.895740747451782227e-02 2.315192297101020813e-02 -5.161675810813903809e-02
9.000000000000000000e+00 4.648695373535156250e+01 3.094799423217773438e+01 1.109283351898193359e+01 6.929255050636129454e-06 7.515675406466471031e-06 4.762131042480468750e+02 2.131229848600924015e-06 8.019513302315317560e-07 7.686188382809155950e-14
1.000000000000000000e+01 3.233714294433593750e+02 5.598039550781250000e+02 8.682483673095703125e+01 1.080651941265386995e-06 2.391815996816148981e-06 4.165401458740234375e+01 1.020648710436944384e-06 1.481153049098793417e-06 9.789846715138172256e-15
1.100000000000000000e+01 6.960531711578369141e+00 1.510822875976562500e+03 5.450900268554687500e+02 1.402848965881275944e-06 6.225468041520798579e-06 2.753480529785156250e+02 4.346834430180024356e-06 7.692327130826015491e-08 3.229614655136242574e-13
1.200000000000000000e+01 7.135715332031250000e+03 9.667887115478515625e+01 2.465698242187500000e+01 1.391975729347905144e-06 1.128640292336058337e-06 3.516889648437500000e+03 4.150423080773180118e-07 7.625385478604584932e-08 1.196543389950189759e-14
