# k gas iso ps ics nfw fb_pos fb_neg loopI
0.000000000000000000e+00 2.297100275754928589e-01 5.520956420898437500e+01 3.117967247962951660e-01 7.152194976806640625e-01 2.734682522714138031e-02 1.576246879994869232e-02 6.256459280848503113e-03 1.680389941527082875e-02
1.000000000000000000e+00 3.692896664142608643e-01 5.528153610229492188e+01 4.570385515689849854e-01 1.080974221229553223e+00 1.863844878971576691e-02 1.781183481216430664e-02 7.647563237696886063e-03 1.528572564041041915e-02
2.000000000000000000e+00 6.824010610580444336e-01 4.612312316894531250e+01 5.995792150497436523e-01 1.380562424659729004e+00 1.803020946681499481e-02 2.096128463745117188e-02 8.449724875390529633e-03 1.475383774132410508e-02
3.000000000000000000e+00 1.126919388771057129e+00 3.584894180297851562e+01 6.574937701225280762e-01 1.260025858879089355e+00 2.676374465227127075e-02 2.516693621873855591e-02 1.134788896888494492e-02 1.360723503671579238e-02
4.000000000000000000e+00 1.582126617431640625e+00 2.967867851257324219e+01 7.200836539268493652e-01 8.759926557540893555e-01 3.561071678996086121e-02 3.057174384593963623e-02 1.311334315687417984e-02 1.011492388352053240e-02
5.000000000000000000e+00 1.860591053962707520e+00 2.830347251892089844e+01 6.737601757049560547e-01 5.608998537063598633e-01 4.331174492835998535e-02 3.580653294920921326e-02 1.453865785151720047e-02 4.123175679239921010e-03
6.000000000000000000e+00 2.143681287765502930e+00 2.725146865844726562e+01 6.156254410743713379e-01 8.019515872001647949e-01 1.529782731086015701e-02 4.033329710364341736e-02 1.978909969329833984e-02 1.568527319250279106e-03
7.000000000000000000e+00 2.437599897384643555e+00 2.147087287902832031e+01 4.401456713676452637e-01 1.919807493686676025e-01 1.035144180059432983e-02 4.734156653285026550e-02 2.247179858386516571e-02 3.890943407895974815e-04
8.000000000000000000e+00 2.775804042816162109e+00 2.072691917419433594e+01 3.542108237743377686e-01 4.261642694473266602e-01 -5.161675810813903809e-02 4.895740747451782227e-02 2.315192297101020813e-02 5.760934654972516000e-04
9.000000000000000000e+00 2.685363054275512695e+00 2.480881690979003906e+01 2.377099394798278809e-01 6.857067942619323730e-01 -9.408696740865707397e-02 5.336464196443557739e-02 2.452987246215343475e-02 3.073303469136590138e-05
1.000000000000000000e+01 3.138917446136474609e+00 2.796948051452636719e+01 1.302678734064102173e-01 4.807385206222534180e-01 -1.310523301362991333e-01 3.685903549194335938e-02 2.842073515057563782e-02 7.190750038716942072e-04
1.100000000000000000e+01 3.943227529525756836e+00 5.641283512115478516e+00 5.398962646722793579e-02 7.132490873336791992e-01 -5.395334959030151367e-02 2.483540028333663940e-02 4.975193645805120468e-03 1.052016072208061814e-03
1.200000000000000000e+01 2.040428638458251953e+00 4.273857593536376953e+00 3.182046860456466675e-02 1.209616422653198242e+00 3.822324797511100769e-02 1.671724766492843628e-02 3.417593985795974731e-02 1.502499682828783989e-03
