# E_GeV gas iso ps ics nfw fb_pos fb_neg loopI total
1.304321375275280914e+00 1.831715820774869980e-03 1.263050112435862532e-04 2.348875337158069310e-04 7.806932983105647822e-04 3.400265679091984549e-04 2.009209779782436295e-04 9.729634192851319792e-05 1.256654869954777819e-04 3.737511038856260008e-03
2.218982274181229730e+00 1.490636820309905984e-03 1.488736658066083557e-04 2.149177147719312476e-04 5.979624607890283040e-04 3.522632856348575751e-04 1.555510749485264452e-04 4.152088399388858316e-05 8.171793304329161268e-05 3.083443839298038568e-03
3.775053073500424183e+00 1.154804569217234272e-03 2.027326195515598858e-04 2.083820882216218598e-04 4.557206751048838416e-04 3.545473574982957563e-04 1.227908368228296807e-04 6.622899857555030571e-06 4.993592373807050728e-05 2.555536970012052631e-03
6.422325374407718890e+00 8.373089623665560611e-04 2.467232083405764692e-04 1.907920271785065280e-04 2.743389562016527441e-04 3.445538921581918252e-04 9.734946952804944878e-05 -9.246028797039853992e-06 2.665721603130297664e-05 2.008477703007796340e-03
1.092600878978529444e+01 6.242626805331047976e-04 2.784451101906967310e-04 1.823458433299004501e-04 1.232824692046766341e-04 3.371553667856595229e-04 6.483614078272365488e-05 -3.880750717687597316e-05 9.194908082381216638e-07 1.572439594458124130e-03
1.858791903965422065e+01 4.162963243144904377e-04 2.231859842960936451e-04 1.578951932431282238e-04 5.337129646833952340e-05 3.074213936056018298e-04 6.211934417511571387e-05 -1.815882056438320380e-05 2.106100182981599620e-08 1.202151776540215638e-03
3.162277655582570901e+01 2.942756111512848365e-04 7.823555229350446724e-05 1.421006114531404103e-04 9.183248748135252346e-05 2.687566423908383179e-04 6.883819462373479245e-05 4.834278930765499294e-06 9.939105783946998997e-08 9.489727693824601606e-04
5.379838458025832182e+01 2.234400247337108903e-04 1.135116092402137027e-04 1.023748202227227284e-04 1.018583503680226809e-06 2.280349934687079399e-04 4.271235847254641977e-05 -8.575101132680329816e-06 1.072785531559212053e-06 7.035900740404609681e-04
9.152473176089060303e+01 1.832284192270824800e-04 1.966902342098802655e-05 8.042618892412900489e-05 7.552842410446796566e-06 1.461929133076196759e-04 5.439810170286339908e-05 6.264286512451859558e-06 3.953491540977079340e-06 5.016852670465585641e-04
1.557068395621998320e+02 6.707722884532742137e-05 5.343916037185536376e-05 5.767081236213973748e-05 2.649653555858435272e-05 1.431588734627586650e-04 9.664445643212629236e-07 -8.472102497462528071e-06 4.981018150277535662e-06 3.453179708178018953e-04
2.648969237716195266e+02 7.468215231351909796e-05 2.452648404386932131e-06 3.083500965550982272e-05 3.219226584982584375e-06 8.909514094183596086e-05 1.535143446434999716e-05 1.469008952610945835e-05 1.047166652208763609e-06 2.313728685429028344e-04
4.506570248350201950e+02 6.768140195963864728e-05 8.101833991897828282e-07 1.439518990514088186e-05 9.780848421797512662e-06 3.834692549399514304e-05 1.095558370021517086e-06 1.465782000918330442e-05 1.458660497834852047e-06 1.482265880568016316e-04
7.666822027411357112e+02 1.493787189528692560e-05 9.077050231192962019e-06 2.870217983685041043e-06 3.848034105704194679e-05 6.447297786089380926e-05 4.991075403297276625e-08 -6.366102264374965898e-06 2.754851386792032689e-06 1.262771189045508078e-04
