# k  Ectr(GeV)  gas  iso  ps  loopI  ics  nfw_NFW_g1_rho2_rs21_R08_rvir402_ns2048_normpole_pheno  fb_pos  fb_neg
00 1.30432 950001 162679 89281 168426 375868 365331 3249.44 21.7893
01 2.21898 491445 93456.2 50126 91578.2 176873 211939 1825.6 0
02 3.77505 227298 43586.1 27369.9 49848.5 89131.2 107583 1415.15 40.2014
03 6.42233 96555.1 25908.7 14000.6 20942.8 37163.6 54429.5 450.756 16.3061
04 10.926 39356.9 14332.6 8070.8 11432.1 19278.3 22593.2 317.657 7.61418
05 18.5879 15930.9 7690.93 4260.06 6518.37 5673.64 11370.7 185.067 4.51919
06 31.6228 7300.85 2844.68 2857.41 3096.16 3676.76 4660.53 109.257 2.45069
07 53.7984 3105.43 1411.23 1476.07 1035.6 1264.47 2447.47 20.6756 2.61745
08 91.5247 1212.58 411.819 646.79 645.698 704.533 858.221 25.896 2.06447
09 155.707 410.671 179.65 271.273 267.622 213.694 380.691 19.5517 1.95029
10 264.897 180.56 62.4641 101.022 82.231 88.7333 144.143 2.07655 0
11 450.657 40.0216 21.8567 24.8219 53.3101 32.9466 58.7507 4.12609 0
12 766.682 18.5059 8.76127 3.50121 13.7823 24.3481 21.2671 0.293597 0
