# k gas iso ps ics nfw fb_pos fb_neg loopI
0.000000000000000000e+00 2.044852226972579956e-01 1.050736755132675171e-03 7.656679749488830566e-01 6.876978278160095215e-01 6.118064880371093750e+00 1.121558947488665581e-03 -1.447449803352355957e+00 1.108290705506532157e-10
1.000000000000000000e+00 3.373690247535705566e-01 3.527342807501554489e-03 7.700109481811523438e-01 8.565260767936706543e-01 5.540423393249511719e+00 1.050170831149443984e-04 -1.502311348915100098e+00 2.109257740527410024e-11
2.000000000000000000e+00 6.227721571922302246e-01 6.709892302751541138e-02 8.182736635208129883e-01 9.079586863517761230e-01 5.267587184906005859e+00 2.702051133383065462e-04 -1.457213759422302246e+00 2.985422417159139426e-12
3.000000000000000000e+00 1.020869851112365723e+00 3.411647165194153786e-03 8.139518499374389648e-01 5.366346240043640137e-01 4.942511081695556641e+00 5.673334089806303382e-05 -1.268459916114807129e+00 2.481352496149218535e-13
4.000000000000000000e+00 1.401267051696777344e+00 1.822041161358356476e-02 7.976658940315246582e-01 3.150510042905807495e-02 4.392695903778076172e+00 7.996669737622141838e-04 -1.119561791419982910e+00 2.437322456177892674e-15
5.000000000000000000e+00 1.474979400634765625e+00 2.648839959874749184e-03 6.848372220993041992e-01 1.332290470600128174e-03 3.696065187454223633e+00 1.093888073228299618e-03 -9.259663224220275879e-01 1.848595031837763704e-15
6.000000000000000000e+00 1.764452815055847168e+00 1.835180819034576416e-01 6.127752065658569336e-01 2.110092100338079035e-05 2.918853044509887695e+00 3.146643051877617836e-03 -8.680864572525024414e-01 2.750257084475099425e-16
7.000000000000000000e+00 1.821705341339111328e+00 2.520863153040409088e-02 4.309561550617218018e-01 7.903538644313812256e-04 2.210624694824218750e+00 7.265438791364431381e-03 -5.857726931571960449e-01 1.768429055209939154e-16
8.000000000000000000e+00 2.127657413482666016e+00 6.354053318500518799e-02 3.179651796817779541e-01 3.437676234170794487e-03 1.592222929000854492e+00 6.200348027050495148e-03 -6.043865680694580078e-01 1.011306053823656317e-16
9.000000000000000000e+00 1.721255660057067871e+00 2.042062953114509583e-02 2.121463119983673096e-01 2.424475550651550293e-02 1.160344839096069336e+00 3.037920687347650528e-03 -3.090657293796539307e-01 3.215577115591086976e-17
1.000000000000000000e+01 2.660144567489624023e+00 4.314764961600303650e-02 1.356619000434875488e-01 2.446170896291732788e-02 5.663973093032836914e-01 1.539705973118543625e-02 -1.597950011491775513e-01 1.981011509261522796e-17
1.100000000000000000e+01 3.403603315353393555e+00 2.811512649059295654e-01 3.463054820895195007e-02 1.498695928603410721e-02 2.071849852800369263e-01 8.508943021297454834e-03 7.582131773233413696e-02 2.273248195142398012e-18
1.200000000000000000e+01 2.829999923706054688e+00 6.833722442388534546e-02 3.835366806015372276e-03 3.380625963211059570e+00 1.989134550094604492e-01 2.063273824751377106e-02 -1.031359508633613586e-01 5.569951969548054642e-18
