# E_GeV gas iso ps ics nfw fb_pos fb_neg loopI total
1.304321375275280914e+00 1.841496189973908324e-03 1.903232834227604145e-09 2.036563270912812010e-04 5.468409461665414261e-04 1.236818267663124075e-03 1.356933454122220340e-07 -1.782110920132545784e-04 8.858283841218284646e-05 3.739321073872029465e-03
2.218982274181229730e+00 1.528293656219542910e-03 6.380696909942103341e-09 1.853802960389293634e-04 3.873773412105258182e-04 1.120043183134895957e-03 1.270563563912564403e-08 -1.849656861652082724e-04 4.879820653927495017e-05 3.084946083310509835e-03
3.775053073500424183e+00 1.198647676800304552e-03 1.454814021529813566e-07 1.826218097835258507e-04 2.689898662903518131e-04 1.064887049204115647e-03 3.269113572670630358e-08 -1.794132375325359157e-04 1.998346962707430450e-05 2.555894806710717719e-03
6.422325374407718890e+00 8.732611140615318800e-04 9.517606125525048119e-09 1.724288542113800392e-04 1.166414988146276070e-04 9.991701810936166276e-04 6.863960955031385051e-09 -1.561737244861348319e-04 4.849927743453526306e-06 2.010194233005555258e-03
1.092600878978529444e+01 6.522631493687976439e-04 6.139442909705576957e-08 1.640904574194446976e-04 5.164153062994141209e-06 8.880204189097447819e-04 9.674880407644910957e-08 -1.378412771099490658e-04 1.451779572585171894e-07 1.572000222841462777e-03
1.858791903965422065e+01 4.272103838610762506e-04 9.359953637023506585e-09 1.399337913084542175e-04 1.633283087494311645e-07 7.471906610822928643e-04 1.323455468228486017e-07 -1.140056595617266631e-04 6.273040018294629632e-07 1.201261514501135615e-03
3.162277655582570901e+01 3.374389118255041709e-04 6.734298490453285949e-07 1.271484801586705512e-04 1.902804110510564404e-09 5.900706901250955729e-04 3.807009194391988249e-07 -1.068794476874421353e-04 1.768900586061227378e-07 9.490115580530297150e-04
5.379838458025832182e+01 2.321957609956053529e-04 1.174371385998275651e-07 9.276083156148290712e-05 5.121593240717022500e-08 4.468963731347747178e-04 8.790190634620726538e-07 -7.212076788763422351e-05 5.092442818240043886e-07 7.012891142205216182e-04
9.152473176089060303e+01 1.789637123741248594e-04 3.068177675505314894e-07 7.244394779110212301e-05 1.578214498607037232e-07 3.218812554905045023e-04 7.501575987331458310e-07 -7.441252197247140855e-05 5.593893623234101462e-07 5.006505798617278064e-04
1.557068395621998320e+02 9.531111597119058668e-05 8.248365963458838193e-08 5.213709583138824763e-05 7.760116932965597068e-07 2.345734675873221791e-04 3.675469952953214622e-07 -3.805240154591301691e-05 5.903977622806486182e-07 3.457857179544951008e-04
2.648969237716195266e+02 9.763199934165870167e-05 1.549018991070799966e-07 3.659531594679906900e-05 5.497703164449241861e-07 1.145019794133235892e-04 1.862834360476837302e-06 -1.967407891293547332e-05 1.395541048726478617e-06 2.330182634136012179e-04
4.506570248350201950e+02 8.369953480101715074e-05 1.362483333524593208e-06 1.041834733198343714e-05 2.391275414284176427e-07 4.188418717542434418e-05 1.029466125713804927e-06 9.335176806235208276e-06 4.152883335813192375e-07 1.483836114489083566e-04
7.666822027411357112e+02 4.713699568048142718e-05 4.147895934964031060e-07 1.305560048562537411e-06 3.921320690780863422e-05 4.021202776910660161e-05 2.496280097412550617e-06 -1.269817467152585748e-05 2.532542374581781695e-06 1.206132277999241118e-04
