# E_GeV gas iso ps ics nfw fb_pos fb_neg loopI total
1.304321375275280914e+00 4.855079060925499013e-03 1.843311921371007062e-08 3.036517628630074615e-04 1.194265988432750706e-03 7.473702960342656996e-04 1.173634549516994495e-04 5.924579084646275904e-05 1.819198464205834748e-04 7.458914633593477679e-03
2.218982274181229730e+00 3.892510850019704430e-03 1.813515944192474387e-08 2.856331107982324944e-04 1.037547706556044566e-03 6.924614894965915989e-04 1.050175607324854558e-04 5.645776200358430748e-05 1.363350884403759960e-04 6.205981703206458512e-03
3.775053073500424183e+00 3.094126529164377675e-03 2.901713556439611281e-08 2.866903908667927433e-04 9.358008273630193281e-04 5.919030360600151773e-04 1.004236593575429814e-04 5.105614265956579477e-05 1.079415239489258196e-04 5.167971126555806136e-03
6.422325374407718890e+00 2.263498009557719272e-03 6.065246748619636187e-08 2.648401734744658766e-04 7.803810740264447180e-04 4.895101805303945283e-04 9.366351067875350388e-05 5.310848624973348503e-05 8.451695827813135485e-05 4.029579045263128462e-03
1.092600878978529444e+01 1.718344289218122663e-03 1.582785587555778954e-07 2.538879040214045597e-04 5.554894809597004995e-04 4.509685051140230327e-04 8.473867285180682399e-05 4.614456409592373705e-05 5.540245083401058152e-05 3.165134145653746879e-03
1.858791903965422065e+01 1.156509249202818546e-03 3.310528268689478310e-07 2.156579064081052145e-04 4.269392219394180015e-04 4.267678503921830922e-04 7.170035111846425409e-05 3.929697478138740143e-05 3.087154859151074957e-05 2.368074155260755601e-03
3.162277655582570901e+01 8.320764472864917603e-04 3.225075810529069027e-07 1.767979813510503029e-04 3.568644400313578991e-04 3.796223971403912432e-04 5.890837684119664731e-05 3.817200934101622119e-05 1.386152624130426438e-05 1.856625685813860331e-03
5.379838458025832182e+01 7.044347558519307257e-04 9.781867033648155593e-07 1.285765218937689070e-04 1.438245639441745318e-04 2.668304686789249526e-04 5.556478486187147023e-05 3.067601981251212730e-05 1.294687708529095271e-05 1.343832178831838977e-03
9.152473176089060303e+01 5.417469514626437662e-04 8.427802455514570106e-07 9.714708857412138209e-05 7.752671374404570756e-05 1.762563127395098408e-04 4.245036981543066082e-05 2.148128329502885049e-05 5.630165291344586013e-06 9.630816651676763276e-04
1.557068395621998320e+02 4.458724000884922156e-01 3.483184929312568524e-06 9.045290579870775283e-02 4.489334463442205547e-01 1.232437392876409715e-01 5.687177758031136676e-02 3.437630151953043750e-02 1.337780997586142037e-02 1.213131863779694841e+00
2.648969237716195266e+02 1.169804396232555728e-04 4.846161692138532056e-06 2.926893678496589389e-04 4.641823060518941908e-05 7.346339172034149669e+02 8.536272622451094776e+02 3.962379082380765567e+02 6.256433344769729956e+02 2.610142883097774302e+03
4.506570248350201950e+02 6.035980633138354756e-02 2.810901394865528494e-03 3.228661909175696175e-04 8.623566116000338719e-03 8.614419732905680485e-04 1.761200649544566879e-03 8.037303350696864759e-03 5.821586015065884773e-02 1.409929461573577181e-01
7.666822027411357112e+02 8.561783547241681447e-01 1.309511834651898646e-02 1.789472639840223867e-01 2.668533195740188657e-01 1.530699763576615968e+00 2.338914987739415530e+00 7.192272404659013629e-01 2.337980211495313210e+00 8.241896259905967526e+00
