# E_GeV gas iso ps nfw ics fb_flat loopI total
1.304321375275280914e+00 2.490053844712337289e-03 5.010950786702576514e-06 3.492771358707229268e-04 1.061043692515092240e-04 4.004300711167138225e-04 1.873930668431842534e-04 3.316265640796690005e-05 3.571432094989137468e-03
2.218982274181229730e+00 2.056316537937550280e-03 5.016649289506132607e-06 2.697718250705909799e-04 1.075770104779660461e-04 3.415532853378321662e-04 1.737283764175270319e-04 1.562048684294002542e-05 2.969584171373914564e-03
3.775053073500424183e+00 1.544437398612714517e-03 5.945926635121322496e-06 2.253555751054234072e-04 8.314374334655095275e-05 3.814427645987180640e-04 1.829140487876986573e-04 2.000714076493031440e-05 2.443246597851157515e-03
6.422325374407718890e+00 1.054283223614701018e-03 1.036494341228339266e-05 1.924476409668410140e-04 4.654482335361500331e-05 3.618858651645533837e-04 1.953220356217636475e-04 3.239751758782953133e-05 1.893246049721586562e-03
1.092600878978529444e+01 7.217206614701845296e-04 1.766221509034529252e-05 1.821511636243003591e-04 2.527288084441112466e-05 3.027346225513428122e-04 1.937922831338192097e-04 2.510086810363410296e-05 1.468434694818037105e-03
1.858791903965422065e+01 5.036117700632046631e-04 2.832001394842425011e-05 1.603322065910147852e-04 1.979510915916726983e-05 2.264782776789128586e-04 1.696512388636109035e-04 1.042105732723607989e-05 1.118609673631570890e-03
3.162277655582570901e+01 3.791924575915307316e-04 2.979240103911789137e-05 1.395691085900684200e-04 1.851115530034266036e-05 1.693474527256120480e-04 1.479896918785334511e-04 2.368926466860467276e-06 8.867711935920658374e-04
5.379838458025832182e+01 3.297798489731880163e-04 3.997484354094034599e-05 1.049598737114853993e-04 1.755697630301197526e-05 5.128420711776750891e-05 1.218145753987845507e-04 8.092482983468632646e-07 6.661795733435243831e-04
9.152473176089060303e+01 2.839989741167519839e-04 3.653747168067559620e-05 7.984136479236388821e-05 1.411148348421899542e-05 7.423067826400902062e-07 8.404715068775829535e-05 1.017618418156336482e-07 4.993805133862247057e-04
1.557068395621998320e+02 2.077438349763706578e-04 3.241642593271520055e-05 5.186821832991223323e-05 1.179676563664371850e-05 8.601966219915821486e-07 4.997292982777101474e-05 1.578973852052095551e-07 3.548162687106095215e-04
2.648969237716195266e+02 1.502682891443593940e-04 3.640792202312492884e-05 2.784861316987783644e-05 1.437830085266797205e-05 1.749703692377098436e-07 2.106724619423227436e-05 4.083432785380874157e-07 2.505536850320381863e-04
4.506570248350201950e+02 1.176052307085220799e-04 4.235825597798113828e-05 5.828843788084996386e-06 1.287353270378174472e-05 1.043651238240067132e-06 4.635277382990887324e-07 2.272806481968878347e-07 1.804003228031060167e-04
7.666822027411357112e+02 9.154265480186932777e-05 5.094734686083705514e-05 7.336165321238491278e-07 6.772361836581996125e-06 5.362655265065346429e-07 5.072954989185997906e-06 3.197352197545201653e-07 1.559249357668592842e-04
