# k gas iso ps ics nfw fb_pos fb_neg loopI
0.000000000000000000e+00 2.112131863832473755e-01 6.872967529296875000e+01 9.152062535285949707e-01 1.012856364250183105e+00 1.901868730783462524e-01 2.039696216583251953e+00 1.082896351814270020e+00 1.359233725871161411e-10
1.000000000000000000e+00 3.422072529792785645e-01 7.513964843750000000e+01 9.298563003540039062e-01 1.395999789237976074e+00 2.051828503608703613e-01 1.659715890884399414e+00 6.592465639114379883e-01 3.221210521288527494e-11
2.000000000000000000e+00 6.289564371109008789e-01 9.075212860107421875e+01 9.573366641998291016e-01 1.635805964469909668e+00 2.136072218418121338e-01 1.362384676933288574e+00 3.561443388462066650e-01 7.057994580663307527e-12
3.000000000000000000e+00 1.042959690093994141e+00 9.151300811767578125e+01 9.265105724334716797e-01 1.348586797714233398e+00 2.116313129663467407e-01 1.116969823837280273e+00 1.692203879356384277e-01 1.224480985322887096e-12
4.000000000000000000e+00 1.437055468559265137e+00 8.210066223144531250e+01 9.293301701545715332e-01 8.886936306953430176e-01 2.162612676620483398e-01 8.402006626129150391e-01 -4.881000518798828125e-02 1.622354814644630730e-14
5.000000000000000000e+00 1.554708242416381836e+00 6.460351562500000000e+01 7.932673096656799316e-01 6.266616582870483398e-01 2.043280452489852905e-01 7.477242946624755859e-01 7.163065671920776367e-02 5.352834080475529993e-15
6.000000000000000000e+00 1.699991703033447266e+00 3.199395561218261719e+01 6.926510334014892578e-01 1.041488528251647949e+00 1.817936748266220093e-01 7.086371183395385742e-01 1.410736590623855591e-01 1.184647945112570063e-15
7.000000000000000000e+00 1.995631694793701172e+00 2.932356262207031250e+01 5.010051727294921875e-01 9.928463026881217957e-03 1.538578718900680542e-01 4.991304576396942139e-01 5.185720697045326233e-02 4.344769608506126083e-16
8.000000000000000000e+00 2.315804958343505859e+00 6.555325031280517578e+00 3.669446408748626709e-01 3.465497195720672607e-01 1.023005396127700806e-01 5.627672076225280762e-01 1.323792934417724609e-01 2.783384683662919246e-16
9.000000000000000000e+00 1.536930799484252930e+00 2.153341674804687500e+01 2.522291243076324463e-01 3.746727108955383301e-01 1.056836917996406555e-01 8.313842117786407471e-02 -5.032448098063468933e-02 1.944085039683571037e-16
1.000000000000000000e+01 2.219383001327514648e+00 2.292732238769531250e+00 1.335652917623519897e-01 4.086510539054870605e-01 6.073818355798721313e-02 1.644762009382247925e-01 1.570253670215606689e-01 1.063658687023413088e-17
1.100000000000000000e+01 2.580858707427978516e+00 1.601293444633483887e+00 5.386422574520111084e-02 7.061996459960937500e-01 2.981144189834594727e-02 6.751928478479385376e-03 1.655975133180618286e-01 5.221533595222762891e-18
1.200000000000000000e+01 2.126986086368560791e-01 3.990617394447326660e-01 9.928276762366294861e-03 4.818621158599853516e+00 5.703937634825706482e-02 5.158144980669021606e-02 6.516956258565187454e-03 2.827164263965763115e-18
