# E_GeV gas iso ps ics nfw fb_pos fb_neg loopI total
1.304321375275280914e+00 4.669108700288824264e-03 1.000004590299135990e-04 2.095258841200728448e-04 8.613118932116421494e-04 9.298178369303797004e-04 8.614895201683769367e-05 4.794268129423838746e-05 1.517644453184900969e-04 7.055620852210398898e-03
2.218982274181229730e+00 3.770790995919068994e-03 1.000044737154663627e-04 2.183494160210598656e-04 7.096930290794481152e-04 8.035655648667455091e-04 7.899221675602737110e-05 4.589636967321710924e-05 1.084452512958639287e-04 5.835737317326893624e-03
3.775053073500424183e+00 3.004844044247010574e-03 1.000048972023704084e-04 2.360035183338354988e-04 6.145075939517098945e-04 6.837478096589267749e-04 7.842358124188343160e-05 4.185052274352050875e-05 8.191659515240779085e-05 4.841298562531661832e-03
6.422325374407718890e+00 2.222274785180608676e-03 1.000026777394437448e-04 2.275034692194181148e-04 4.639409884736670473e-04 5.662350609632793488e-04 7.498360978219217139e-05 4.344839086564234403e-05 5.966355080938094262e-05 3.758052533033632864e-03
1.092600878978529444e+01 1.689809365265584938e-03 1.000147537701328806e-04 2.226004521069768457e-04 2.657979678606190864e-04 4.915222903329088521e-04 6.875938938871697297e-05 3.882479455174847128e-05 3.108658966202269434e-05 2.908415602938711677e-03
1.858791903965422065e+01 1.154603801101826291e-03 1.000483136055853632e-04 1.887939516455376882e-04 1.533116258451734247e-04 4.404752389849681676e-04 5.842106290046646030e-05 3.100965558197903062e-05 8.589438475970849045e-06 2.135253088141505530e-03
3.162277655582570901e+01 8.552841641988074292e-04 1.000020947578044632e-04 1.559588574717104843e-04 1.093903261725816955e-04 3.415287754610364895e-04 4.978336419168793677e-05 3.212564181076045706e-05 5.270189137727582076e-07 1.644600242978161648e-03
5.379838458025832182e+01 6.282302563784113603e-04 1.000640328431439720e-04 1.082267239658499193e-04 1.371940038743756040e-05 2.377557276071957427e-04 4.701068776892933834e-05 3.030378362789664312e-05 5.592790436521926967e-07 1.165869891622517071e-03
9.152473176089060303e+01 4.481599380760193188e-04 1.001089292280928392e-04 8.055598950441497338e-05 1.901180062125235086e-05 1.077006502950643408e-04 3.975581012402447888e-05 2.454682065078406825e-05 1.973673610393496127e-08 8.198596752357562370e-04
1.557068395621998320e+02 2.154253887425976199e-04 1.000277559546127333e-04 5.589808011160971436e-05 1.554513689220749770e-05 5.834683700051556830e-05 2.965547875743976933e-05 2.044298441097109592e-05 1.681660577775981561e-07 4.955098279277318947e-04
2.648969237716195266e+02 7.341380526678171938e-05 1.000685542509888051e-04 2.842781092544205177e-05 1.087557309267433978e-05 8.054034612994385078e-05 6.349145778204732684e-06 1.662534147859204701e-05 9.303967147459227149e-08 3.163936165941021021e-04
4.506570248350201950e+02 1.152267245317874011e-04 1.002238998400971755e-04 1.087426565960252615e-05 9.195698303704317412e-06 5.071388613104386159e-06 2.110229066986946184e-06 2.636281703102948679e-06 1.615342583540905351e-07 2.455000219767397682e-04
7.666822027411357112e+02 4.010829351402387294e-05 1.001546176010932766e-04 7.850882591681391137e-06 1.451308598274540698e-05 1.632127128044039733e-06 3.422745138071257823e-06 9.776867474491193459e-06 2.623773757497029370e-07 1.777209968059001097e-04
